id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
639280827847650582,Lugar encantador en vicente lopez,461943087,Roberto,,Nuñez,-34.52618,-58.48117,Entire home/apt,2880,1,0,,,1,364,0,
33712571,Ambiente familiar....tranquilo,187744857,Griselda,,Villa Lugano,-34.68885,-58.50478,Entire home/apt,1230,2,0,,,1,89,0,
32934967,"Habitacion para viajeros, estudiantes",247809450,Sebastian,,Mataderos,-34.68112,-58.51895,Private room,3697,15,0,,,1,365,0,
42042076,Hotel Vicente Lopez,183363682,Bernardo,,Nuñez,-34.52638,-58.47069,Private room,5500,1,6,2021-10-10,0.21,2,73,1,
33424822,Departamento de 2 ambientes frente al río,36564453,Sandra,,Nuñez,-34.5173,-58.47505,Entire home/apt,1915,15,3,2021-07-24,0.21,15,205,2,
641528995442730912,Stylish apartment,462457011,Hildegarde,,Nuñez,-34.51627,-58.47442,Entire home/apt,6328,1,0,,,1,233,0,
54019695,Hermoso departamento con piscina en Puerto Madero!,298874610,Pablo,,Dique 4,-34.60493,-58.36544,Entire home/apt,8503,7,0,,,20,364,0,
108284,Historic & Luminous Duplex Downtown!,560338,Carlos,,San Nicolas,-34.60107,-58.3764,Entire home/apt,4832,2,258,2022-05-09,2.00,22,345,23,
32204376,Apartamento Puerto Madero 2 ambientes amplios!,122031954,Marta,,Dique 2,-34.6152,-58.36415,Entire home/apt,9859,1,15,2020-01-01,0.37,1,4,0,
11508,Amazing Luxurious Apt-Palermo Soho,42762,Candela,,Palermo,-34.58184,-58.42415,Entire home/apt,8010,2,27,2021-04-03,0.22,1,292,0,
111501,Beautiful Apartment Palermo Vip Great location,570921,Emilce,,Palermo,-34.57901,-58.41283,Entire home/apt,5951,3,127,2022-05-19,0.96,1,322,7,
13095,Standard Room at Palermo Viejo B&B w pvt Bath,50994,Ariel,,Palermo,-34.59348,-58.42949,Private room,5693,1,1,2018-12-18,0.02,7,364,0,9789
13096,Standard Room in Palermo Viejo B&B,50994,Ariel,,Palermo,-34.59348,-58.42949,Private room,5693,1,0,,,7,365,0,
118069,Luxury 1 Bedroom - 1.5 Bath,530261,Luciano,,Palermo,-34.57978,-58.43223,Entire home/apt,7077,14,21,2022-05-31,0.17,27,336,3,
13097,Standard Room at Palermo Viejo B&B pvt bath,50994,Ariel,,Palermo,-34.59348,-58.42949,Private room,5693,1,1,2019-11-27,0.03,7,365,0,
13099,Lofty room in Palermo Viejo B&B pvt bath,50994,Ariel,,Palermo,-34.59327,-58.42953,Private room,6391,1,0,,,7,365,0,
4338028,"Penthouse, breathtaking views, pool",22521769,Berni,,Dique 2,-34.61555,-58.36379,Entire home/apt,11707,2,91,2022-06-10,0.98,4,340,20,
