id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
826691,Suite 7 - Suites Condesa Mexico,4326326,Rodrigo,,Cuauhtémoc,19.40915,-99.17321,Entire home/apt,850,180,18,2019-05-11,0.17,6,325,0,
35797,Villa Dante,153786,Dici,,Cuajimalpa de Morelos,19.38283,-99.27178,Entire home/apt,4056,1,0,,,1,363,0,
52390579,"Casa en privada con  vigilancia, estacionamiento.",424060909,Maria Carmen Marta,,Cuajimalpa de Morelos,19.395126,-99.277374,Private room,752,1,0,,,1,365,0,
826760,Suite 12 - Suites Condesa Mexico,4326326,Rodrigo,,Cuauhtémoc,19.40915,-99.17321,Entire home/apt,971,4,17,2020-03-15,0.15,6,203,0,
44616,CONDESA HAUS  B&B,196253,Condesa Haus Bed & Breakfast  CDMX,,Cuauhtémoc,19.41162,-99.17794,Entire home/apt,18000,1,56,2022-06-05,0.43,11,347,7,
828714,Apartment with Internet & 2 cable TV's,4344353,Miriam,,Coyoacán,19.34183,-99.15533,Entire home/apt,608,1,25,2018-05-21,0.36,1,140,0,
15511977,La casa de Abraham,93364273,Abraham,,Miguel Hidalgo,19.41095,-99.24418,Private room,800,1,1,2018-03-19,0.02,1,179,0,
34776449,★ The attic ★ Panoramic garden 10 min CitiBanamex,2954577,Lazaro Alejandro,,Miguel Hidalgo,19.42641,-99.22591,Private room,1779,1,5,2022-03-14,0.14,4,222,1,
45767104,BONITO DEPARTAMENTO NUEVO  LOMAS DE  TECAMACHALCO,371036285,Luis,,Miguel Hidalgo,19.41947,-99.24063,Private room,500,7,0,,,1,365,0,
832805,ROOMS CASA INDIGO WITH TERRACE AT CITY CENTER,3777702,Abraham,,Cuauhtémoc,19.44262,-99.14566,Private room,444,1,125,2022-01-26,1.08,6,288,2,
28466997,Casa de Lulú,214885342,Lulú,,Cuajimalpa de Morelos,19.39683,-99.27678,Private room,1000,1,2,2021-12-02,0.05,1,365,1,
56074,Great space in historical San Rafael,265650,Maris,,Cuauhtémoc,19.43977,-99.15605,Entire home/apt,650,2,72,2022-06-19,0.53,2,344,14,
844818,Well located on calm neighborhood,4410326,Fernando,,Benito Juárez,19.38336,-99.18197,Private room,460,2,8,2019-11-24,0.07,1,269,0,
2056622,Cómodo y espacioso loft en Coyoacán,10531228,Maria,,Coyoacán,19.35585,-99.16315,Entire home/apt,1602,2,13,2019-09-03,0.19,3,290,0,
865012,Business Suite RED near Reforma Av.,3850198,Hermann,,Cuauhtémoc,19.43078,-99.17011,Hotel room,1111,2,31,2022-01-01,0.27,10,356,1,
2056638,Amplio y luminoso loft en Coyoacán,10531228,Maria,,Coyoacán,19.35353,-99.16299,Entire home/apt,1602,1,21,2018-06-24,0.20,3,290,0,
58955,Entire beautiful duplex in la Roma,282620,Laura,,Cuauhtémoc,19.42113,-99.15955,Entire home/apt,2019,7,45,2022-01-06,0.35,1,47,3,
865070,"Lovely comfortable room facing garden, Alcatraz",3991683,Leonora,,Coyoacán,19.34424,-99.17095,Hotel room,608,3,9,2021-08-20,0.08,2,351,1,
61792,Spacious Clean Quiet room (own bath) in la Condesa,299558,Roberto,,Cuauhtémoc,19.41083,-99.18057,Private room,1212,2,58,2022-06-15,1.03,1,159,6,
868843,Business Suite PURPLE near Reforma,3850198,Hermann,,Cuauhtémoc,19.43068,-99.17007,Hotel room,1010,2,41,2022-04-16,0.43,10,361,6,
868986,Business Suite BLUE near Reforma Av,3850198,Hermann,,Cuauhtémoc,19.4306,-99.17074,Entire home/apt,1010,2,19,2022-03-11,0.17,10,362,1,
869063,Business Suite BLACK near Reforma,3850198,Hermann,,Cuauhtémoc,19.43052,-99.17003,Hotel room,1010,2,19,2022-03-11,0.24,10,355,1,
