price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
752,1,0,,1,365,0
800,1,1,0.02,1,179,0
1779,1,5,0.14,4,222,1
500,7,0,,1,365,0
444,1,125,1.08,6,288,2
1000,1,2,0.05,1,365,1
460,2,8,0.07,1,269,0
1212,2,58,1.03,1,159,6
1379,1,0,,3,88,0
306,4,80,0.79,2,361,7
811,3,9,0.08,1,364,0
375,2,5,0.05,1,261,0
3130,1,0,,1,365,0
284,2,47,0.45,2,331,0
788,2,27,0.25,1,325,4
1200,1,144,1.37,5,356,1
1716,2,157,1.53,1,172,2
450,1,28,0.3,1,359,2
277,1,1,0.02,1,365,0
524,5,18,0.14,4,144,2
450,2,9,0.12,4,324,2
747,3,119,1.08,1,81,13
426,3,17,0.17,2,171,0
1014,5,21,0.2,3,161,1
608,2,0,,1,365,0
629,15,16,0.16,1,267,3
505,4,107,1.05,1,179,0
350,3,1,0.02,5,0,0
348,2,193,1.7,2,279,0
699,5,221,2.17,4,355,7
500,1,3,0.03,1,355,0
303,2,16,0.27,5,0,1
500,3,0,,1,365,0
532,3,215,2.07,1,49,2
608,2,13,0.14,3,364,0
1300,2,0,,1,363,0
426,3,26,0.24,2,171,0
1111,5,0,,1,365,0
380,7,12,0.14,1,355,3
600,3,0,,1,364,0
2028,1,0,,1,365,0
2524,2,116,1.12,1,365,0
450,2,46,0.46,1,365,6
909,2,13,0.11,1,365,1
608,2,1,0.04,1,365,0
13500,1,51,0.42,10,363,5
2827,1,162,1.54,6,284,0
700,1,0,,1,365,0
666,3,53,0.73,1,88,0
507,1,2,0.02,1,365,0
305,2,26,0.25,4,359,4
208,1,48,0.49,1,191,2
811,3,2,0.02,2,293,0
350,30,0,,1,365,0
1200,1,64,0.64,5,352,1
799,1,186,1.74,2,358,21
1414,2,95,1.08,3,282,19
608,30,3,0.06,2,365,0
1143,7,0,,1,88,0
250,5,3,0.03,1,356,0
1292,1,0,,1,365,0
550,1,198,3.86,3,325,37
507,2,0,,1,87,0
639,2,16,0.19,1,54,0
507,2,38,0.39,2,364,1
2200,1,31,0.3,7,365,0
900,2,36,0.6,1,73,10
920,14,77,0.77,3,347,0
540,5,10,0.1,1,172,0
250,7,24,0.29,1,362,0
550,5,13,0.12,4,285,5
220,15,2,0.03,8,0,1
406,3,6,0.06,1,87,0
246,28,14,0.2,8,144,0
325,2,44,0.65,1,142,14
650,3,0,,1,365,0
450,2,80,0.8,2,259,4
350,2,142,1.37,2,182,2
417,1,3,0.05,1,365,0
1800,1,36,0.36,7,365,0
1300,1,24,0.25,5,171,0
1300,1,53,0.54,5,313,0
608,3,2,0.04,3,365,0
344,2,10,5.08,1,274,10
588,3,1,0.01,2,365,0
588,5,1,0.01,2,365,0
1615,1,0,,1,365,0
1318,2,5,0.05,1,363,1
927,2,50,0.49,6,99,0
300,1,7,2.8,1,364,7
910,10,13,0.38,1,355,2
808,1,5,0.04,1,364,0
608,1,1,0.01,2,365,0
500,2,27,0.27,2,362,0
606,3,144,1.58,1,295,4
505,2,103,1.24,1,160,0
565,1,3,0.03,1,364,0
400,28,23,0.25,5,293,0
4039,1,0,,1,365,0
533,1,0,,3,365,0
1615,1,0,,1,365,0
350,15,0,,1,325,0
420,1,3,0.04,1,363,0
505,30,211,2.37,1,180,0
700,1,23,0.25,4,365,1
600,2,0,,3,90,0
880,3,1,0.02,2,311,0
1313,1,5,0.05,1,233,0
428,6,6,0.08,2,365,0
1067,2,0,,1,180,0
456,2,95,1.78,1,160,26
450,2,0,,1,365,0
1286,2,73,0.79,1,354,0
714,5,123,1.34,4,334,7
287,30,0,,1,365,0
1200,2,4,0.1,3,339,1
