,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
0,752.0,1.0,0.0,1.3,1.0,365,0.0
1,800.0,1.0,1.0,0.02,1.0,179,0.0
2,1779.0,1.0,5.0,0.14,4.0,222,1.0
3,500.0,7.0,0.0,1.3,1.0,365,0.0
4,444.0,1.0,125.0,1.08,6.0,288,2.0
5,1000.0,1.0,2.0,0.05,1.0,365,1.0
6,460.0,2.0,8.0,0.07,1.0,269,0.0
7,1212.0,2.0,58.0,1.03,1.0,159,6.0
8,1379.0,1.0,0.0,1.3,3.0,88,0.0
9,306.0,4.0,80.0,0.79,2.0,361,7.0
10,811.0,3.0,9.0,0.08,1.0,364,0.0
11,375.0,2.0,5.0,0.05,1.0,261,0.0
12,3130.0,1.0,0.0,1.3,1.0,365,0.0
13,284.0,2.0,47.0,0.45,2.0,331,0.0
14,788.0,2.0,27.0,0.25,1.0,325,4.0
15,1200.0,1.0,144.0,1.37,5.0,356,1.0
16,1716.0,2.0,157.0,1.53,1.0,172,2.0
17,450.0,1.0,28.0,0.3,1.0,359,2.0
18,277.0,1.0,1.0,0.02,1.0,365,0.0
19,524.0,5.0,18.0,0.14,4.0,144,2.0
20,450.0,2.0,9.0,0.12,4.0,324,2.0
21,747.0,3.0,119.0,1.08,1.0,81,13.0
22,426.0,3.0,17.0,0.17,2.0,171,0.0
23,1014.0,5.0,21.0,0.2,3.0,161,1.0
24,608.0,2.0,0.0,1.3,1.0,365,0.0
25,629.0,15.0,16.0,0.16,1.0,267,3.0
26,505.0,4.0,107.0,1.05,1.0,179,0.0
27,350.0,3.0,1.0,0.02,5.0,0,0.0
28,348.0,2.0,15.4,1.7,2.0,279,0.0
29,699.0,5.0,15.4,2.17,4.0,355,7.0
30,500.0,1.0,3.0,0.03,1.0,355,0.0
31,303.0,2.0,16.0,0.27,5.0,0,1.0
32,500.0,3.0,0.0,1.3,1.0,365,0.0
33,532.0,3.0,15.4,2.07,1.0,49,2.0
34,608.0,2.0,13.0,0.14,3.0,364,0.0
35,1300.0,2.0,0.0,1.3,1.0,363,0.0
36,426.0,3.0,26.0,0.24,2.0,171,0.0
37,1111.0,5.0,0.0,1.3,1.0,365,0.0
38,380.0,7.0,12.0,0.14,1.0,355,3.0
39,600.0,3.0,0.0,1.3,1.0,364,0.0
40,2028.0,1.0,0.0,1.3,1.0,365,0.0
41,2524.0,2.0,116.0,1.12,1.0,365,0.0
42,450.0,2.0,46.0,0.46,1.0,365,6.0
43,909.0,2.0,13.0,0.11,1.0,365,1.0
44,608.0,2.0,1.0,0.04,1.0,365,0.0
45,13500.0,1.0,51.0,0.42,10.0,363,5.0
46,2827.0,1.0,162.0,1.54,6.0,284,0.0
47,700.0,1.0,0.0,1.3,1.0,365,0.0
48,666.0,3.0,53.0,0.73,1.0,88,0.0
49,507.0,1.0,2.0,0.02,1.0,365,0.0
50,305.0,2.0,26.0,0.25,4.0,359,4.0
51,208.0,1.0,48.0,0.49,1.0,191,2.0
52,811.0,3.0,2.0,0.02,2.0,293,0.0
53,350.0,30.0,0.0,1.3,1.0,365,0.0
54,1200.0,1.0,64.0,0.64,5.0,352,1.0
55,799.0,1.0,15.4,1.74,2.0,358,21.0
56,1414.0,2.0,95.0,1.08,3.0,282,19.0
57,608.0,30.0,3.0,0.06,2.0,365,0.0
58,1143.0,7.0,0.0,1.3,1.0,88,0.0
59,250.0,5.0,3.0,0.03,1.0,356,0.0
60,1292.0,1.0,0.0,1.3,1.0,365,0.0
61,550.0,1.0,15.4,3.86,3.0,325,37.0
62,507.0,2.0,0.0,1.3,1.0,87,0.0
63,639.0,2.0,16.0,0.19,1.0,54,0.0
64,507.0,2.0,38.0,0.39,2.0,364,1.0
65,2200.0,1.0,31.0,0.3,7.0,365,0.0
66,900.0,2.0,36.0,0.6,1.0,73,10.0
67,920.0,14.0,77.0,0.77,3.0,347,0.0
68,540.0,5.0,10.0,0.1,1.0,172,0.0
69,250.0,7.0,24.0,0.29,1.0,362,0.0
70,550.0,5.0,13.0,0.12,4.0,285,5.0
71,220.0,15.0,2.0,0.03,8.0,0,1.0
72,406.0,3.0,6.0,0.06,1.0,87,0.0
73,246.0,28.0,14.0,0.2,8.0,144,0.0
74,325.0,2.0,44.0,0.65,1.0,142,14.0
75,650.0,3.0,0.0,1.3,1.0,365,0.0
76,450.0,2.0,80.0,0.8,2.0,259,4.0
77,350.0,2.0,142.0,1.37,2.0,182,2.0
78,417.0,1.0,3.0,0.05,1.0,365,0.0
79,1800.0,1.0,36.0,0.36,7.0,365,0.0
80,1300.0,1.0,24.0,0.25,5.0,171,0.0
81,1300.0,1.0,53.0,0.54,5.0,313,0.0
82,608.0,3.0,2.0,0.04,3.0,365,0.0
83,344.0,2.0,10.0,5.08,1.0,274,10.0
84,588.0,3.0,1.0,0.01,2.0,365,0.0
85,588.0,5.0,1.0,0.01,2.0,365,0.0
86,1615.0,1.0,0.0,1.3,1.0,365,0.0
87,1318.0,2.0,5.0,0.05,1.0,363,1.0
88,927.0,2.0,50.0,0.49,6.0,99,0.0
89,300.0,1.0,7.0,2.8,1.0,364,7.0
90,910.0,10.0,13.0,0.38,1.0,355,2.0
91,808.0,1.0,5.0,0.04,1.0,364,0.0
92,608.0,1.0,1.0,0.01,2.0,365,0.0
93,500.0,2.0,27.0,0.27,2.0,362,0.0
94,606.0,3.0,144.0,1.58,1.0,295,4.0
95,505.0,2.0,103.0,1.24,1.0,160,0.0
96,565.0,1.0,3.0,0.03,1.0,364,0.0
97,400.0,28.0,23.0,0.25,5.0,293,0.0
98,4039.0,1.0,0.0,1.3,1.0,365,0.0
99,533.0,1.0,0.0,1.3,3.0,365,0.0
100,1615.0,1.0,0.0,1.3,1.0,365,0.0
101,350.0,15.0,0.0,1.3,1.0,325,0.0
102,420.0,1.0,3.0,0.04,1.0,363,0.0
103,505.0,30.0,15.4,2.37,1.0,180,0.0
104,700.0,1.0,23.0,0.25,4.0,365,1.0
105,600.0,2.0,0.0,1.3,3.0,90,0.0
106,880.0,3.0,1.0,0.02,2.0,311,0.0
107,1313.0,1.0,5.0,0.05,1.0,233,0.0
108,428.0,6.0,6.0,0.08,2.0,365,0.0
109,1067.0,2.0,0.0,1.3,1.0,180,0.0
110,456.0,2.0,95.0,1.78,1.0,160,26.0
111,450.0,2.0,0.0,1.3,1.0,365,0.0
112,1286.0,2.0,73.0,0.79,1.0,354,0.0
113,714.0,5.0,123.0,1.34,4.0,334,7.0
114,287.0,30.0,0.0,1.3,1.0,365,0.0
115,1200.0,2.0,4.0,0.1,3.0,339,1.0
116,608.0,3.0,25.0,0.27,2.0,333,1.0
117,1995.0,1.0,2.0,0.03,11.0,197,0.0
118,550.0,3.0,22.0,0.25,2.0,363,0.0
119,360.0,1.0,16.0,0.2,2.0,172,0.0
120,606.0,1.0,0.0,1.3,1.0,365,0.0
121,507.0,1.0,0.0,1.3,1.0,365,0.0
122,2028.0,1.0,164.0,1.79,6.0,302,4.0
123,690.0,2.0,4.0,0.05,1.0,365,0.0
124,2470.0,1.0,0.0,1.3,3.0,185,0.0
125,367.0,1.0,15.4,3.61,11.0,261,60.0
126,507.0,1.0,0.0,1.3,1.0,365,0.0
127,363.0,1.0,15.4,3.89,2.0,176,46.0
128,525.0,2.0,3.0,0.03,1.0,276,0.0
129,3854.0,1.0,105.0,1.26,1.0,57,0.0
130,327.0,1.0,15.4,3.63,11.0,327,62.0
131,1111.0,3.0,0.0,1.3,2.0,350,0.0
132,350.0,2.0,9.0,0.1,1.0,257,5.0
133,650.0,3.0,1.0,0.02,3.0,365,0.0
134,1434.0,1.0,0.0,1.3,3.0,365,0.0
135,500.0,2.0,18.0,0.2,1.0,365,2.0
136,1272.0,1.0,0.0,1.3,3.0,365,0.0
137,2100.0,1.0,1.0,0.03,3.0,81,0.0
138,550.0,1.0,13.0,0.2,3.0,365,0.0
139,500.0,2.0,2.0,0.04,3.0,365,0.0
140,403.0,2.0,51.0,0.58,3.0,141,6.0
141,500.0,2.0,82.0,0.91,1.0,275,0.0
142,300.0,1.0,30.0,0.32,4.0,365,1.0
143,250.0,1.0,0.0,1.3,1.0,364,0.0
144,202.0,1.0,0.0,1.3,1.0,362,0.0
145,608.0,2.0,14.0,0.19,2.0,352,0.0
146,1000.0,5.0,0.0,1.3,2.0,0,0.0
147,313.0,3.0,2.0,0.02,3.0,206,1.0
148,400.0,1.0,2.0,0.02,3.0,345,0.0
149,639.0,1.0,15.0,0.16,1.0,257,7.0
150,299.0,4.0,10.0,0.68,11.0,311,6.0
151,293.0,4.0,48.0,0.56,2.0,364,15.0
152,507.0,2.0,6.0,0.07,3.0,364,0.0
153,350.0,2.0,9.0,0.11,1.0,88,0.0
154,655.0,2.0,0.0,1.3,2.0,365,0.0
155,2028.0,1.0,11.0,0.14,2.0,171,0.0
156,560.0,2.0,0.0,1.3,1.0,360,0.0
157,304.0,1.0,31.0,0.36,2.0,363,17.0
158,2157.0,1.0,73.0,0.86,4.0,347,37.0
159,580.0,2.0,58.0,0.64,1.0,349,6.0
160,485.0,10.0,3.0,0.05,1.0,357,0.0
161,710.0,2.0,15.4,2.2,3.0,347,39.0
162,600.0,1.0,0.0,1.3,1.0,365,0.0
163,466.0,1.0,8.0,0.12,2.0,365,0.0
164,406.0,25.0,0.0,1.3,1.0,364,0.0
165,255.0,2.0,16.0,0.18,1.0,270,0.0
166,1014.0,1.0,0.0,1.3,1.0,363,0.0
167,608.0,1.0,0.0,1.3,1.0,365,0.0
168,392.0,4.0,0.0,1.3,11.0,294,0.0
169,707.0,7.0,0.0,1.3,1.0,365,0.0
170,1200.0,1.0,71.0,0.8,5.0,287,2.0
171,353.0,30.0,12.0,0.14,8.0,249,0.0
172,435.0,4.0,16.0,0.21,2.0,357,5.0
173,353.0,1.0,4.0,0.05,2.0,364,0.0
174,600.0,8.0,16.0,0.22,1.0,318,6.0
175,464.0,1.0,15.4,4.02,1.0,356,14.0
176,568.0,1.0,26.0,0.35,2.0,362,0.0
177,666.0,1.0,4.0,0.05,1.0,364,0.0
178,800.0,4.0,2.0,0.04,2.0,365,0.0
179,208.0,28.0,22.0,0.26,8.0,2,3.0
180,2839.0,1.0,1.0,0.02,9.0,364,0.0
181,550.0,1.0,12.0,0.18,1.0,356,3.0
182,800.0,1.0,1.0,0.01,1.0,365,0.0
183,1111.0,2.0,34.0,0.37,6.0,99,0.0
184,678.0,2.0,15.4,2.78,1.0,365,41.0
185,390.0,5.0,3.0,0.05,2.0,81,0.0
186,487.0,2.0,76.0,0.85,3.0,360,20.0
187,290.0,1.0,67.0,0.75,2.0,264,0.0
188,565.0,1.0,3.0,0.04,2.0,0,0.0
189,350.0,1.0,8.0,0.12,3.0,365,0.0
190,650.0,1.0,10.0,0.21,2.0,40,1.0
191,300.0,1.0,7.0,0.11,3.0,337,0.0
192,243.0,3.0,2.0,0.04,1.0,363,0.0
193,500.0,14.0,23.0,0.27,1.0,362,0.0
194,707.0,2.0,63.0,0.73,4.0,351,11.0
195,1414.0,2.0,130.0,1.58,3.0,315,18.0
196,707.0,2.0,26.0,0.3,4.0,351,11.0
197,691.0,2.0,15.4,3.39,5.0,348,29.0
198,392.0,2.0,31.0,0.38,1.0,83,0.0
199,325.0,1.0,109.0,1.33,3.0,361,15.0
200,900.0,1.0,6.0,0.07,1.0,345,1.0
201,550.0,1.0,5.0,0.07,2.0,364,1.0
202,650.0,1.0,144.0,1.8,2.0,361,6.0
203,300.0,2.0,30.0,0.36,2.0,170,0.0
204,1757.0,1.0,0.0,1.3,1.0,365,0.0
205,650.0,3.0,0.0,1.3,1.0,365,0.0
206,200.0,1.0,0.0,1.3,1.0,173,0.0
207,325.0,1.0,81.0,1.14,2.0,36,0.0
208,533.0,1.0,1.0,0.01,2.0,324,0.0
209,536.0,1.0,21.0,0.26,3.0,362,13.0
